interval,profileName,symbols,symbol,timeUtc,reason,confidence,confidenceThreshold,expectedMovePercent,estimatedNetMovePercent,expectedTargetSource,signalReason
5m,current-guarded-baseline-ETH,ETHUSDT,ETHUSDT,2026-04-30T17:56:00.0000000Z,ConfidenceBelowThreshold,0.42,0.70,0.1032462114837875419593116500,-0.1467537885162124580406883500,MovingAverageTrendStrategy.LowVolBreakoutExpectedTarget,Entry signal - low-volatility breakout confirmed after follow-through.
5m,current-guarded-baseline-ETH,ETHUSDT,ETHUSDT,2026-04-30T23:41:00.0000000Z,ConfidenceBelowThreshold,0.465,0.70,0.0724619519733608462890720100,-0.1775380480266391537109279900,MovingAverageTrendStrategy.LowVolBreakoutExpectedTarget,Entry signal - low-volatility breakout confirmed after follow-through.
5m,current-guarded-baseline-ETH,ETHUSDT,ETHUSDT,2026-05-01T01:51:00.0000000Z,ExpectedMoveBelowMinimum,0.70,0.70,0.0452930493352611348168000800,-0.2047069506647388651831999200,MovingAverageTrendStrategy.LowVolBreakoutExpectedTarget,Entry signal - low-volatility breakout confirmed after follow-through.
5m,current-guarded-baseline-ETH,ETHUSDT,ETHUSDT,2026-05-01T03:11:00.0000000Z,ConfidenceBelowThreshold,0.42,0.70,0.0225794797687861271676300600,-0.2274205202312138728323699400,MovingAverageTrendStrategy.LowVolBreakoutExpectedTarget,Entry signal - low-volatility breakout confirmed after follow-through.
5m,current-guarded-baseline-ETH,ETHUSDT,ETHUSDT,2026-05-01T11:16:00.0000000Z,ConfidenceBelowThreshold,0.635,0.70,0.0332352310941825226415011800,-0.2167647689058174773584988200,MovingAverageTrendStrategy.LowVolBreakoutExpectedTarget,Entry signal - low-volatility breakout confirmed after follow-through.
5m,current-guarded-baseline-ETH,ETHUSDT,ETHUSDT,2026-05-01T22:11:00.0000000Z,ExpectedMoveBelowMinimum,0.745,0.70,0.0792175651484596521640656600,-0.1707824348515403478359343400,MovingAverageTrendStrategy.LowVolBreakoutExpectedTarget,Entry signal - low-volatility breakout confirmed after follow-through.
5m,current-guarded-baseline-ETH,ETHUSDT,ETHUSDT,2026-05-02T00:01:00.0000000Z,ConfidenceBelowThreshold,0.635,0.70,0.0284758830678358140689727300,-0.2215241169321641859310272700,MovingAverageTrendStrategy.LowVolBreakoutExpectedTarget,Entry signal - low-volatility breakout confirmed after follow-through.
5m,current-guarded-baseline-ETH,ETHUSDT,ETHUSDT,2026-05-02T06:56:00.0000000Z,ExpectedMoveBelowMinimum,0.70,0.70,0.0948039105127560093338769400,-0.1551960894872439906661230600,MovingAverageTrendStrategy.LowVolBreakoutExpectedTarget,Entry signal - low-volatility breakout confirmed after follow-through.
5m,current-guarded-baseline-ETH,ETHUSDT,ETHUSDT,2026-05-02T08:36:00.0000000Z,ConfidenceBelowThreshold,0.39,0.70,0.0473317448537166516932932300,-0.2026682551462833483067067700,MovingAverageTrendStrategy.LowVolBreakoutExpectedTarget,Entry signal - low-volatility breakout confirmed after follow-through.
5m,current-guarded-baseline-ETH,ETHUSDT,ETHUSDT,2026-05-02T12:31:00.0000000Z,ConfidenceBelowThreshold,0.495,0.70,0.0295336194067086954446647600,-0.2204663805932913045553352400,MovingAverageTrendStrategy.LowVolBreakoutExpectedTarget,Entry signal - low-volatility breakout confirmed after follow-through.
5m,current-guarded-baseline-ETH,ETHUSDT,ETHUSDT,2026-05-02T13:11:00.0000000Z,ConfidenceBelowThreshold,0.56,0.70,0.0342997866271948617404815400,-0.2157002133728051382595184600,MovingAverageTrendStrategy.LowVolBreakoutExpectedTarget,Entry signal - low-volatility breakout confirmed after follow-through.
5m,current-guarded-baseline-ETH,ETHUSDT,ETHUSDT,2026-05-02T16:11:00.0000000Z,ConfidenceBelowThreshold,0.67,0.70,0.0335317838043647565808829900,-0.2164682161956352434191170100,MovingAverageTrendStrategy.LowVolBreakoutExpectedTarget,Entry signal - low-volatility breakout confirmed after follow-through.
5m,current-guarded-baseline-ETH,ETHUSDT,ETHUSDT,2026-05-03T06:56:00.0000000Z,ConfidenceBelowThreshold,0.39,0.70,0.0271209681968678536248801300,-0.2228790318031321463751198700,MovingAverageTrendStrategy.LowVolBreakoutExpectedTarget,Entry signal - low-volatility breakout confirmed after follow-through.
5m,current-guarded-baseline-ETH,ETHUSDT,ETHUSDT,2026-05-03T09:31:00.0000000Z,ConfidenceBelowThreshold,0.56,0.70,0.062584126819396518174506400,-0.187415873180603481825493600,MovingAverageTrendStrategy.LowVolBreakoutExpectedTarget,Entry signal - low-volatility breakout confirmed after follow-through.
5m,current-guarded-baseline-ETH,ETHUSDT,ETHUSDT,2026-05-03T11:36:00.0000000Z,ConfidenceBelowThreshold,0.635,0.70,0.0431402662617233673566233300,-0.2068597337382766326433766700,MovingAverageTrendStrategy.LowVolBreakoutExpectedTarget,Entry signal - low-volatility breakout confirmed after follow-through.
5m,current-guarded-baseline-ETH,ETHUSDT,ETHUSDT,2026-05-03T14:56:00.0000000Z,ConfidenceBelowThreshold,0.42,0.70,0.0253491848059511742573917200,-0.2246508151940488257426082800,MovingAverageTrendStrategy.LowVolBreakoutExpectedTarget,Entry signal - low-volatility breakout confirmed after follow-through.
5m,current-guarded-baseline-ETH,ETHUSDT,ETHUSDT,2026-05-04T21:16:00.0000000Z,ConfidenceBelowThreshold,0.67,0.70,0.1226665026072715083988510200,-0.1273334973927284916011489800,MovingAverageTrendStrategy.LowVolBreakoutExpectedTarget,Entry signal - low-volatility breakout confirmed after follow-through.
5m,current-guarded-baseline-ETH,ETHUSDT,ETHUSDT,2026-05-05T07:01:00.0000000Z,ConfidenceBelowThreshold,0.39,0.70,0.1736918994613097616053894300,-0.0763081005386902383946105700,MovingAverageTrendStrategy.LowVolBreakoutExpectedTarget,Entry signal - low-volatility breakout confirmed after follow-through.
5m,current-guarded-baseline-ETH,ETHUSDT,ETHUSDT,2026-05-05T10:31:00.0000000Z,ExpectedMoveBelowMinimum,0.70,0.70,0.0513195864146117799483438900,-0.1986804135853882200516561100,MovingAverageTrendStrategy.LowVolBreakoutExpectedTarget,Entry signal - low-volatility breakout confirmed after follow-through.
5m,current-guarded-baseline-ETH,ETHUSDT,ETHUSDT,2026-05-06T08:06:00.0000000Z,ConfidenceBelowThreshold,0.56,0.70,0.0218758153980826045603373500,-0.2281241846019173954396626500,MovingAverageTrendStrategy.LowVolBreakoutExpectedTarget,Entry signal - low-volatility breakout confirmed after follow-through.
5m,current-guarded-baseline-ETH,ETHUSDT,ETHUSDT,2026-05-06T11:16:00.0000000Z,ConfidenceBelowThreshold,0.56,0.70,0.0505700244887153352306572200,-0.1994299755112846647693427800,MovingAverageTrendStrategy.LowVolBreakoutExpectedTarget,Entry signal - low-volatility breakout confirmed after follow-through.
5m,current-guarded-baseline-ETH,ETHUSDT,ETHUSDT,2026-05-07T03:51:00.0000000Z,ExpectedMoveBelowMinimum,0.70,0.70,0.1100942377751110767020649700,-0.1399057622248889232979350300,MovingAverageTrendStrategy.LowVolBreakoutExpectedTarget,Entry signal - low-volatility breakout confirmed after follow-through.
5m,current-guarded-baseline-ETH,ETHUSDT,ETHUSDT,2026-05-07T05:06:00.0000000Z,ExpectedMoveBelowMinimum,0.745,0.70,0.0494573636757656772333057300,-0.2005426363242343227666942700,MovingAverageTrendStrategy.LowVolBreakoutExpectedTarget,Entry signal - low-volatility breakout confirmed after follow-through.
5m,current-guarded-baseline-ETH,ETHUSDT,ETHUSDT,2026-05-07T11:06:00.0000000Z,ConfidenceBelowThreshold,0.53,0.70,0.159891591705005836709469200,-0.090108408294994163290530800,MovingAverageTrendStrategy.LowVolBreakoutExpectedTarget,Entry signal - low-volatility breakout confirmed after follow-through.
5m,current-guarded-baseline-ETH,ETHUSDT,ETHUSDT,2026-05-07T23:06:00.0000000Z,ConfidenceBelowThreshold,0.605,0.70,0.0260879170778137743741103900,-0.2239120829221862256258896100,MovingAverageTrendStrategy.LowVolBreakoutExpectedTarget,Entry signal - low-volatility breakout confirmed after follow-through.
5m,current-guarded-baseline-ETH,ETHUSDT,ETHUSDT,2026-05-08T08:41:00.0000000Z,ConfidenceBelowThreshold,0.56,0.70,0.02559670961954976044105100,-0.22440329038045023955894900,MovingAverageTrendStrategy.LowVolBreakoutExpectedTarget,Entry signal - low-volatility breakout confirmed after follow-through.
5m,current-guarded-baseline-ETH,ETHUSDT,ETHUSDT,2026-05-08T17:06:00.0000000Z,ConfidenceBelowThreshold,0.42,0.70,0.0180153769711551034284369400,-0.2319846230288448965715630600,MovingAverageTrendStrategy.LowVolBreakoutExpectedTarget,Entry signal - low-volatility breakout confirmed after follow-through.
