interval,profileName,symbols,tradesCount,wins,losses,winRatePercent,grossPnlQuote,estimatedNetPnlQuote,totalFeeAndSpreadEstimateQuote,averageWinQuote,averageLossQuote,maxConsecutiveLosses,averageTradeDurationMinutes,rawBuySignals,executedBuySignals,blockedBuySignals,grossWinningTrades,grossWinRatePercent,netWinningTrades,netWinRatePercent,expectedTargetTouchTrades,expectedTargetTouchRatePercent,averageMfePercent,averageMaePercent,expectedTargetCounterfactualNetPnlQuote,expectedTargetCounterfactualDeltaQuote,enableLowVolatilityBreakoutEntry,breakoutLookbackCandles,breakoutBufferPercent,breakoutConfirmationCandles,minBreakoutSlopePercent,useConfirmedClosedCandlesForLowVolBreakout,blockedByReason,symbolBreakdown,exitReasonBreakdown
5m,current-guarded-baseline-ETH,ETHUSDT,1,0,1,0,-0.0346000000,-0.09125900000000,0.05665900000000,0,-0.09125900000000,1,5,102,1,101,0,0,0,0,0,0,0,0,0,0,True,8,0.0002,1,0.0002,True,ConfidenceBelowThreshold:74|ExpectedMoveBelowMinimum:26|ExpectedNetMoveBelowMinimum:1,ETHUSDT:1,OppositeSignal:1
5m,current-guarded-baseline-BNB,BNBUSDT,0,0,0,0,0,0,0,0,0,0,0,139,0,139,0,0,0,0,0,0,0,0,0,0,True,8,0.0002,1,0.0002,True,ConfidenceBelowThreshold:100|ExpectedMoveBelowMinimum:33|ExpectedNetMoveBelowMinimum:6,,
5m,current-guarded-baseline-ETH+BNB,ETHUSDT+BNBUSDT,1,0,1,0,-0.0346000000,-0.09125900000000,0.05665900000000,0,-0.09125900000000,1,5,241,1,240,0,0,0,0,0,0,0,0,0,0,True,8,0.0002,1,0.0002,True,ConfidenceBelowThreshold:174|ExpectedMoveBelowMinimum:59|ExpectedNetMoveBelowMinimum:7,ETHUSDT:1,OppositeSignal:1
5m,current-guarded-baseline-ETH+BNB+SOL,ETHUSDT+BNBUSDT+SOLUSDT,1,0,1,0,-0.0346000000,-0.09125900000000,0.05665900000000,0,-0.09125900000000,1,5,320,1,319,0,0,0,0,0,0,0,0,0,0,True,8,0.0002,1,0.0002,True,ConfidenceBelowThreshold:227|ExpectedMoveBelowMinimum:81|ExpectedNetMoveBelowMinimum:11,ETHUSDT:1,OppositeSignal:1
5m,lowvol-disabled-ETH,ETHUSDT,1,0,1,0,-0.0346000000,-0.09125900000000,0.05665900000000,0,-0.09125900000000,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,False,8,0.0002,1,0.0002,True,,ETHUSDT:1,OppositeSignal:1
5m,lowvol-disabled-BNB,BNBUSDT,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,False,8,0.0002,1,0.0002,True,ConfidenceBelowThreshold:1,,
5m,lowvol-disabled-ETH+BNB,ETHUSDT+BNBUSDT,1,0,1,0,-0.0346000000,-0.09125900000000,0.05665900000000,0,-0.09125900000000,1,5,2,1,1,0,0,0,0,0,0,0,0,0,0,False,8,0.0002,1,0.0002,True,ConfidenceBelowThreshold:1,ETHUSDT:1,OppositeSignal:1
5m,lowvol-disabled-ETH+BNB+SOL,ETHUSDT+BNBUSDT+SOLUSDT,2,1,1,50,0.0254000000,-0.08364650000000,0.10904650000000,0.00761250000000,-0.09125900000000,1,30,3,2,1,1,50,1,50,1,50,0.4062126642771804062126642772,-0.041816009557945041816009558,0.0313328125000000,0.0237203125000000,False,8,0.0002,1,0.0002,True,ConfidenceBelowThreshold:1,ETHUSDT:1|SOLUSDT:1,OppositeSignal:2
5m,lowvol-strict-confirmed-ETH,ETHUSDT,1,0,1,0,-0.0346000000,-0.09125900000000,0.05665900000000,0,-0.09125900000000,1,5,2,1,1,0,0,0,0,0,0,0,0,0,0,True,20,0.0010,2,0.0004,True,ExpectedMoveBelowMinimum:1,ETHUSDT:1,OppositeSignal:1
5m,lowvol-strict-confirmed-BNB,BNBUSDT,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,True,20,0.0010,2,0.0004,True,ConfidenceBelowThreshold:3|ExpectedMoveBelowMinimum:3|ExpectedNetMoveBelowMinimum:1,,
